query	volume	old_landing_url	new_landing_url	old_page_type	menu_group	category	subcategory	page_level	matched_dimensions	matched_values	reason	source_file
промт для создания фото	12852	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для генерации фото	10998	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото девушки	7435	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для обработки фото	6190	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото мужчины	3611	/promty-dlya-foto-muzhchiny/	/promty-dlya-foto-muzhchiny/	programmatic_L1	Люди и отношения	Мужчины	Общие	L1	audience_tag	muzhchina	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото пар	2754	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для семейного фото	2392	/promty-dlya-semejnogo-foto/	/promty-dlya-semejnogo-foto/	programmatic_L1	Люди и отношения	Семья	Общие	L1	audience_tag	semya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для улучшения фото	2349	/promty-dlya-uluchsheniya-foto/	/promty-dlya-uluchsheniya-foto/	static_hub	Сценарии	Улучшение фото	Общие	L1	intent_action=uluchshenie	intent_action=uluchshenie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для фото женщины	2242	/promty-dlya-foto-devushki/	/promty-dlya-foto-devushki/	programmatic_L1	Люди и отношения	Девушки	Общие	L1	audience_tag	devushka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на день рождения	2149	/sobytiya/den-rozhdeniya/	/sobytiya/den-rozhdeniya/	programmatic_L1	События	День рождения	Общие	L1	occasion_tag	den_rozhdeniya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт черно белое фото	2130	/stil/cherno-beloe/	/stil/cherno-beloe/	programmatic_L1	Стили	Черно-белое	Общие	L1	style_tag	cherno_beloe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
создать промт по фото	1930	/promty-dlya-sozdaniya-foto/	/	static_hub	Главная	Главная	Из фото в промт	home	intent_action=sozdanie	intent_action=sozdanie	extract-prompt-from-photo queries go to homepage	wordstat_top_queries (1).csv
промты для парных фото	1791	/promty-dlya-foto-par/	/promty-dlya-foto-par/	programmatic_L1	Люди и отношения	Пары	Общие	L1	audience_tag	para	mapped to canonical semantic hub	wordstat_top_queries (1).csv
реалистичные промты для фото	1696	/stil/realistichnoe/	/stil/realistichnoe/	programmatic_L1	Стили	Реалистичное	Общие	L1	style_tag	realistichnoe	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для нейросети для обработки фото	1674	/promty-dlya-obrabotki-foto/	/promty-dlya-obrabotki-foto/	static_hub	Сценарии	Обработка фото	Общие	L1	intent_action=obrabotka	intent_action=obrabotka	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промты для детских фото	1629	/promty-dlya-detskih-foto/	/promty-dlya-detskih-foto/	programmatic_L1	Люди и отношения	Дети	Общие	L1	audience_tag	detskie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для улучшения качества фото	1616	/promty-dlya-uluchsheniya-foto/	/promty-dlya-uluchsheniya-foto/	static_hub	Сценарии	Улучшение фото	Общие	L1	intent_action=uluchshenie	intent_action=uluchshenie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото мужской	1614	/promty-dlya-foto-muzhchiny/	/promty-dlya-foto-muzhchiny/	programmatic_L1	Люди и отношения	Мужчины	Общие	L1	audience_tag	muzhchina	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для ии для создания фото	1610	/promty-dlya-sozdaniya-foto/	/promty-dlya-sozdaniya-foto/	static_hub	Сценарии	Создание фото	Общие	L1	intent_action=sozdanie	intent_action=sozdanie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на 23 февраля	1576	/sobytiya/23-fevralya/	/sobytiya/23-fevralya/	programmatic_L1	События	23 февраля	Общие	L1	occasion_tag	23_fevralya	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото с ребенком	1529	/promty-dlya-detskih-foto/	/promty-dlya-detskih-foto/	programmatic_L1	Люди и отношения	Дети	Общие	L1	audience_tag	detskie	mapped to canonical semantic hub	wordstat_top_queries (1).csv
промт для фото на паспорт	1483	/foto-na-pasport/	/foto-na-pasport/	programmatic_L1	Задачи	На паспорт	Общие	L1	doc_task_tag	na_pasport	mapped to canonical semantic hub	wordstat_top_queries (1).csv
