query	volume	landing_url	page_type	matched_dimensions	matched_values	source_file
промт для создания фото	12852	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промт для генерации фото	10998	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промты для фото девушки	7435	/promty-dlya-foto-devushki/	programmatic_L1	audience_tag	devushka	wordstat_top_queries (1).csv
промт для обработки фото	6190	/promty-dlya-obrabotki-foto/	static_hub	intent_action=obrabotka	intent_action=obrabotka	wordstat_top_queries (1).csv
промты для фото мужчины	3611	/promty-dlya-foto-muzhchiny/	programmatic_L1	audience_tag	muzhchina	wordstat_top_queries (1).csv
промты для фото пар	2754	/promty-dlya-foto-par/	programmatic_L1	audience_tag	para	wordstat_top_queries (1).csv
промт для семейного фото	2392	/promty-dlya-semejnogo-foto/	programmatic_L1	audience_tag	semya	wordstat_top_queries (1).csv
промт для улучшения фото	2349	/promty-dlya-uluchsheniya-foto/	static_hub	intent_action=uluchshenie	intent_action=uluchshenie	wordstat_top_queries (1).csv
промты для фото женщины	2242	/promty-dlya-foto-devushki/	programmatic_L1	audience_tag	devushka	wordstat_top_queries (1).csv
промт для фото на день рождения	2149	/sobytiya/den-rozhdeniya/	programmatic_L1	occasion_tag	den_rozhdeniya	wordstat_top_queries (1).csv
промт черно белое фото	2130	/stil/cherno-beloe/	programmatic_L1	style_tag	cherno_beloe	wordstat_top_queries (1).csv
создать промт по фото	1930	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промты для парных фото	1791	/promty-dlya-foto-par/	programmatic_L1	audience_tag	para	wordstat_top_queries (1).csv
реалистичные промты для фото	1696	/stil/realistichnoe/	programmatic_L1	style_tag	realistichnoe	wordstat_top_queries (1).csv
промты для нейросети для обработки фото	1674	/promty-dlya-obrabotki-foto/	static_hub	intent_action=obrabotka	intent_action=obrabotka	wordstat_top_queries (1).csv
промты для детских фото	1629	/promty-dlya-detskih-foto/	programmatic_L1	audience_tag	detskie	wordstat_top_queries (1).csv
промт для улучшения качества фото	1616	/promty-dlya-uluchsheniya-foto/	static_hub	intent_action=uluchshenie	intent_action=uluchshenie	wordstat_top_queries (1).csv
промт для фото мужской	1614	/promty-dlya-foto-muzhchiny/	programmatic_L1	audience_tag	muzhchina	wordstat_top_queries (1).csv
промт для ии для создания фото	1610	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промт для фото на 23 февраля	1576	/sobytiya/23-fevralya/	programmatic_L1	occasion_tag	23_fevralya	wordstat_top_queries (1).csv
промт для фото с ребенком	1529	/promty-dlya-detskih-foto/	programmatic_L1	audience_tag	detskie	wordstat_top_queries (1).csv
промт для фото на паспорт	1483	/foto-na-pasport/	programmatic_L1	doc_task_tag	na_pasport	wordstat_top_queries (1).csv
сделать фото ии промт	1226	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промт для старых фото	1207	/promty-dlya-restavracii-foto/	static_hub	intent_action=restavratsiya	intent_action=restavratsiya	wordstat_top_queries (1).csv
промты для изменения фото	1198	/promty-dlya-obrabotki-foto/	static_hub	intent_action=obrabotka	intent_action=obrabotka	wordstat_top_queries (1).csv
сделать промт по фото	1196	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промт для фото фотосессия	1184	/promty-dlya-fotosessii/	static_hub	intent_action=fotosessiya	intent_action=fotosessiya	wordstat_top_queries (1).csv
промт для фото с мамой	1155	/promty-dlya-foto-s-mamoy/	programmatic_L1	audience_tag	s_mamoy	wordstat_top_queries (1).csv
промт для фото с парнем	1087	/promty-dlya-foto-s-parnem/	programmatic_L1	audience_tag	s_parnem	wordstat_top_queries (1).csv
промт для редактирования фото	1065	/promty-dlya-obrabotki-foto/	static_hub	intent_action=obrabotka	intent_action=obrabotka	wordstat_top_queries (1).csv
промт для фото портрета	1063	/stil/portret/	programmatic_L1	style_tag	portret	wordstat_top_queries (1).csv
промты для фото женские	955	/promty-dlya-foto-devushki/	programmatic_L1	audience_tag	devushka	wordstat_top_queries (1).csv
промты для фото с машиной	921	/s-mashinoy/	programmatic_L1	object_tag	s_mashinoy	wordstat_top_queries (1).csv
промты фото девушек нейросетей	920	/promty-dlya-foto-devushki/	programmatic_L1	audience_tag	devushka	wordstat_top_queries (1).csv
подробный промт для генерации фото	907	/promty-dlya-sozdaniya-foto/	static_hub	intent_action=sozdanie	intent_action=sozdanie	wordstat_top_queries (1).csv
промты для совместных фото	903	/promty-dlya-foto-par/	programmatic_L1	audience_tag	para	wordstat_top_queries (1).csv
промт для студийного фото	873	/stil/studiynoe/	programmatic_L1	style_tag	studiynoe	wordstat_top_queries (1).csv
