new_landing_url	menu_group	category	subcategory	page_level	query_count	total_volume	sample_query_1	sample_query_2	sample_query_3	sample_query_4	sample_query_5
/promty-dlya-sozdaniya-foto/	Сценарии	Создание фото	Общие	L1	112	34317	промт для создания фото	промт для генерации фото	промт для ии для создания фото	сделать фото ии промт	промты для генерации изображений по фото
/promty-dlya-foto-devushki/	Люди и отношения	Девушки	Общие	L1	55	17398	промты для фото девушки	промты для фото женщины	промты для фото женские	промты фото девушек нейросетей	промты для ии для фото девушки
/promty-dlya-obrabotki-foto/	Сценарии	Обработка фото	Общие	L1	69	14688	промт для обработки фото	промты для нейросети для обработки фото	промты для изменения фото	промт для редактирования фото	промт для ии для обработки фото
/promty-dlya-foto-par/	Люди и отношения	Пары	Общие	L1	40	9078	промты для фото пар	промты для парных фото	промты для совместных фото	промт ии парное фото фото	фото для пар ии промты
/promty-dlya-foto-muzhchiny/	Люди и отношения	Мужчины	Общие	L1	40	8253	промты для фото мужчины	промт для фото мужской	промт для ии фото мужчины	промты для фото ии мужские	промт для создания фото мужчины
/promty-dlya-detskih-foto/	Люди и отношения	Дети	Общие	L1	29	5266	промты для детских фото	промт для фото с ребенком	промт для фото мамы с ребенком	промты для детских фото ии	промт фото фоне детского фото
/promty-dlya-semejnogo-foto/	Люди и отношения	Семья	Общие	L1	32	5084	промт для семейного фото	промт для фото семьи	промт для ии семейное фото	промт для создания семейного фото	промт для нейросети семейное фото
/promty-dlya-uluchsheniya-foto/	Сценарии	Улучшение фото	Общие	L1	12	5034	промт для улучшения фото	промт для улучшения качества фото	промт улучшить фото	промт чтобы улучшить качество фото	промт для нейросети для улучшения фото
/	Главная	Главная	Из фото в промт	home	12	4450	создать промт по фото	сделать промт по фото	создать промт по фото бесплатно	создать промт по фото онлайн	генератор промтов по фото
/sobytiya/den-rozhdeniya/	События	День рождения	Общие	L1	9	3193	промт для фото на день рождения	промт для ии фото на день рождения	промт для создания фото на день рождения	промт для фото на др	промт для фото нейросети на день рождения
/stil/cherno-beloe/	Стили	Черно-белое	Общие	L1	13	3140	промт черно белое фото	промт на чб фото	черно белое фото ии промт	промт черно белое фото пары	промт для создания черно белого фото
/instrumenty/chatgpt/	Инструменты	ChatGPT	Общие	L1	30	3077	промт для gpt обработка фото	промт для чата gpt на создание фото	промты для чата gpt для обработки фото	промт для обработки фото chatgpt	промты для создания фото в gpt
/promty-dlya-restavracii-foto/	Сценарии	Реставрация фото	Общие	L1	14	2581	промт для старых фото	промт для реставрации фото	промт для восстановления фото	промт для реставрации старых фото	промт для восстановления старых фото
/stil/realistichnoe/	Стили	Реалистичное	Общие	L1	12	2525	реалистичные промты для фото	промт для создания реалистичного фото	промты для ии для реалистичных фото	промты для максимально реалистичных фото	реалистичное фото промт с описанием
/promty-dlya-foto-s-mamoy/	Люди и отношения	С мамой	Общие	L1	21	2504	промт для фото с мамой	промт для фото мамы и сына	промт для фото мама и дочь	промты для фото мамы с дочкой	промты для ии фото с мамой
/foto-na-pasport/	Задачи	На паспорт	Общие	L1	14	2403	промт для фото на паспорт	промт для ии фото на паспорт	промт для создания фото на паспорт	промт чтобы сделать фото на паспорт	промт для нейросети фото на паспорт
/sobytiya/23-fevralya/	События	23 февраля	Общие	L1	7	2350	промт для фото на 23 февраля	ии промты для фото 23 февраля	промт для создания фото на 23 февраля	промт для фото поздравления с 23 февраля	промт для фото день защитника отечества
/stil/portret/	Стили	Портрет	Общие	L1	11	2166	промт для фото портрета	промт для портретного фото	промт для ии фото портрет	промт студийное фото портрет	промты для генерации фото портрет
